DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
19-Dec-24,EQ,"1,934.00","1,959.75","1,920.00","1,979.15","1,948.50","1,946.20","1,940.72","2,006.45","1,358.35",5323592,"10,33,16,27,136.20",197114
18-Dec-24,EQ,"1,966.80","1,984.95","1,961.60","1,976.60","1,979.00","1,979.15","1,976.08","2,006.45","1,358.35",3064095,"6,05,49,11,475.20",138618
17-Dec-24,EQ,"1,968.00","1,982.00","1,958.00","1,980.05","1,974.00","1,976.60","1,971.86","2,006.45","1,358.35",5811050,"11,45,85,71,096.45",243202
16-Dec-24,EQ,"1,995.45","1,999.60","1,977.60","1,999.70","1,979.20","1,980.05","1,985.38","2,006.45","1,358.35",3119221,"6,19,28,34,340.70",158954
13-Dec-24,EQ,"1,969.75","2,006.45","1,953.80","1,987.00","1,999.00","1,999.70","1,985.40","2,006.45","1,358.35",5362693,"10,64,70,66,758.55",243211
12-Dec-24,EQ,"1,975.20","1,998.80","1,970.55","1,974.15","1,985.10","1,987.00","1,989.23","1,998.80","1,358.35",6462130,"12,85,46,35,035.90",286504
11-Dec-24,EQ,"1,955.00","1,978.00","1,952.00","1,948.55","1,967.30","1,974.15","1,968.23","1,991.45","1,358.35",5025612,"9,89,15,78,979.60",201273
10-Dec-24,EQ,"1,939.00","1,965.60","1,932.00","1,923.65","1,947.10","1,948.55","1,947.08","1,991.45","1,358.35",6174921,"12,02,30,85,384.00",219707
09-Dec-24,EQ,"1,924.20","1,930.20","1,897.20","1,922.40","1,926.95","1,923.65","1,912.43","1,991.45","1,358.35",4274645,"8,17,49,59,449.55",169220
06-Dec-24,EQ,"1,932.80","1,937.95","1,912.40","1,934.85","1,919.00","1,922.40","1,921.54","1,991.45","1,358.35",3573331,"6,86,63,14,025.75",133773
05-Dec-24,EQ,"1,900.00","1,949.90","1,888.95","1,889.25","1,935.00","1,934.85","1,925.05","1,991.45","1,358.35",9050038,"17,42,17,67,118.35",300510
04-Dec-24,EQ,"1,884.00","1,913.95","1,875.00","1,892.10","1,892.00","1,889.25","1,895.14","1,991.45","1,358.35",4705573,"8,91,77,17,924.90",215259
03-Dec-24,EQ,"1,887.00","1,899.75","1,871.15","1,879.80","1,890.00","1,892.10","1,891.36","1,991.45","1,358.35",4715792,"8,91,92,59,125.80",165988
02-Dec-24,EQ,"1,859.00","1,882.80","1,835.20","1,857.85","1,877.45","1,879.80","1,868.92","1,991.45","1,358.35",2868263,"5,36,05,64,446.55",143774
29-Nov-24,EQ,"1,851.10","1,877.00","1,845.00","1,856.65","1,856.95","1,857.85","1,859.93","1,991.45","1,358.35",5244346,"9,75,41,22,115.25",217020
28-Nov-24,EQ,"1,914.90","1,914.90","1,851.65","1,924.50","1,860.30","1,856.65","1,869.78","1,991.45","1,358.35",8468790,"15,83,47,48,613.30",284687
27-Nov-24,EQ,"1,930.10","1,941.40","1,911.75","1,924.15","1,927.00","1,924.50","1,926.81","1,991.45","1,358.35",4447143,"8,56,87,81,533.80",146524
26-Nov-24,EQ,"1,904.95","1,938.60","1,897.30","1,889.70","1,920.20","1,924.15","1,926.35","1,991.45","1,358.35",6850495,"13,19,64,71,061.70",312960
25-Nov-24,EQ,"1,916.00","1,919.30","1,882.00","1,902.25","1,891.00","1,889.70","1,890.66","1,991.45","1,358.35",12764638,"24,13,35,84,391.95",196770
22-Nov-24,EQ,"1,854.10","1,914.05","1,834.00","1,834.05","1,889.20","1,902.25","1,880.71","1,991.45","1,358.35",6301486,"11,85,12,97,771.15",185473
21-Nov-24,EQ,"1,842.00","1,867.00","1,820.60","1,824.75","1,834.00","1,834.05","1,836.76","1,991.45","1,358.35",5436504,"9,98,55,80,026.60",232740
19-Nov-24,EQ,"1,825.50","1,859.70","1,820.55","1,811.45","1,822.50","1,824.75","1,839.98","1,991.45","1,358.35",4669769,"8,59,22,82,283.60",142990
18-Nov-24,EQ,"1,849.20","1,849.20","1,795.00","1,864.55","1,815.05","1,811.45","1,813.82","1,991.45","1,358.35",4839244,"8,77,75,30,199.20",207559
14-Nov-24,EQ,"1,865.60","1,876.00","1,856.00","1,868.40","1,865.00","1,864.55","1,865.97","1,991.45","1,358.35",4311431,"8,04,50,09,313.65",206703
13-Nov-24,EQ,"1,861.10","1,873.20","1,856.30","1,868.80","1,869.00","1,868.40","1,866.77","1,991.45","1,358.35",4257495,"7,94,77,52,333.85",187205
12-Nov-24,EQ,"1,871.10","1,881.00","1,861.00","1,860.10","1,861.00","1,868.80","1,871.65","1,991.45","1,358.35",5012450,"9,38,15,50,004.50",182346
11-Nov-24,EQ,"1,829.00","1,868.00","1,822.55","1,829.95","1,859.05","1,860.10","1,855.73","1,991.45","1,358.35",3804234,"7,05,96,43,882.45",240025
08-Nov-24,EQ,"1,818.00","1,840.60","1,813.15","1,803.05","1,825.95","1,829.95","1,832.23","1,991.45","1,358.35",4210960,"7,71,54,46,613.70",199379
07-Nov-24,EQ,"1,812.95","1,825.70","1,787.00","1,823.70","1,802.85","1,803.05","1,802.49","1,991.45","1,358.35",4550965,"8,20,30,53,863.70",274916
06-Nov-24,EQ,"1,764.00","1,827.20","1,762.65","1,754.20","1,821.00","1,823.70","1,809.14","1,991.45","1,358.35",10421494,"18,85,39,55,667.25",305870
05-Nov-24,EQ,"1,760.00","1,768.45","1,745.00","1,763.65","1,753.00","1,754.20","1,754.19","1,991.45","1,358.35",3160880,"5,54,47,81,198.40",168160
